id,customer_id,order_date,status
1,1,2024-01-10,completed
2,2,2024-01-15,completed
3,1,2024-01-20,completed
4,3,2024-02-01,completed
5,4,2024-02-10,shipped
6,2,2024-02-14,completed
7,5,2024-02-20,completed
8,3,2024-02-25,returned
9,6,2024-03-01,completed
10,1,2024-03-05,completed
11,7,2024-03-10,shipped
12,4,2024-03-15,completed
13,8,2024-03-20,completed
14,5,2024-03-25,shipped
15,9,2024-04-01,completed
16,6,2024-04-05,completed
17,2,2024-04-10,returned
18,10,2024-04-15,completed
19,7,2024-04-20,completed
20,3,2024-04-25,shipped
21,11,2024-05-01,completed
22,12,2024-05-05,completed
23,1,2024-05-10,return_pending
24,13,2024-05-15,completed
25,14,2024-05-20,placed
26,4,2024-05-25,completed
27,8,2024-06-01,completed
28,9,2024-06-05,returned
29,15,2024-06-10,completed
30,5,2024-06-15,completed
31,6,2024-06-20,return_pending
32,11,2024-06-25,completed
33,12,2024-07-01,placed
34,2,2024-07-05,completed
35,13,2024-07-10,returned
36,3,2024-07-15,completed
37,7,2024-07-20,return_pending
38,14,2024-07-25,returned
39,15,2024-08-01,completed
40,10,2024-08-05,placed
