id,order_id,payment_method,amount
1,1,credit_card,2500
2,1,coupon,1000
3,2,credit_card,3000
4,2,bank_transfer,500
5,3,credit_card,1500
6,3,gift_card,500
7,4,credit_card,4000
8,4,coupon,1000
9,5,bank_transfer,1500
10,5,credit_card,2000
11,6,credit_card,1800
12,6,coupon,900
13,7,bank_transfer,2400
14,7,credit_card,600
15,8,credit_card,4000
16,8,gift_card,1000
17,9,credit_card,1100
18,9,bank_transfer,2000
19,10,credit_card,3500
20,10,coupon,1000
21,11,bank_transfer,5000
22,11,credit_card,1000
23,12,credit_card,900
24,12,gift_card,500
25,13,credit_card,2200
26,13,bank_transfer,800
27,14,credit_card,1760
28,14,coupon,500
29,15,gift_card,660
30,15,credit_card,1500
31,16,credit_card,1350
32,17,bank_transfer,2980
33,18,credit_card,4400
34,19,bank_transfer,1900
35,20,credit_card,3600
36,21,credit_card,2100
37,22,bank_transfer,2400
38,23,credit_card,1900
39,24,gift_card,4400
40,25,credit_card,500
41,26,bank_transfer,900
42,27,credit_card,2700
43,28,coupon,500
44,29,credit_card,5000
45,30,bank_transfer,1200
46,31,credit_card,2500
47,32,gift_card,1800
48,33,credit_card,3500
49,34,bank_transfer,900
50,35,credit_card,2200
51,36,coupon,3000
52,37,credit_card,1500
53,38,bank_transfer,1800
54,39,credit_card,4200
55,40,gift_card,2600
