order_id,customer_id,order_date,status,amount
1,1,2024-01-10,completed,99.50
2,2,2024-01-15,completed,149.00
3,1,2024-01-20,completed,49.99
4,3,2024-02-01,completed,200.00
5,4,2024-02-10,shipped,75.00
6,2,2024-02-14,completed,89.99
7,5,2024-02-20,completed,120.00
8,3,2024-02-25,returned,200.00
9,6,2024-03-01,completed,55.00
10,1,2024-03-05,completed,175.50
11,7,2024-03-10,shipped,299.00
12,4,2024-03-15,completed,45.00
13,8,2024-03-20,completed,110.00
14,5,2024-03-25,shipped,88.00
15,9,2024-04-01,completed,33.00
16,6,2024-04-05,completed,67.50
17,2,2024-04-10,returned,149.00
18,10,2024-04-15,completed,220.00
19,7,2024-04-20,completed,95.00
20,3,2024-04-25,shipped,180.00
